dataset,model,horizon_len,origin,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,protocol,fig_path
ETTh1,TimeMixer,336,12864,0.0412267436077746,0.16478723274258952,0.05709636049494667,0.04611450234855847,fastdtw_rolling_origin_scaled,
ETTh1,iTransformer,336,12864,0.06927500125018217,0.22505941205022384,0.07951797475252001,0.06295910280505196,fastdtw_rolling_origin_scaled,
ETTh1,Chronos-2,336,13200,0.1422463107569393,0.30478713093768983,0.11287462730592596,0.1420448379270933,fastdtw_rolling_origin_scaled,
ETTh1,DLinear,336,13200,0.12289663012479408,0.29147698200311,0.12940551071688278,0.10049657091097308,fastdtw_rolling_origin_scaled,
ETTh1,PatchTST,336,13200,0.11425586611378902,0.2810319338104456,0.11368379540403564,0.11046972605446148,fastdtw_rolling_origin_scaled,
ETTh1,TimeMixer,336,13200,0.11794470058007486,0.28328897197848263,0.11308955349195277,0.19865030538947712,fastdtw_rolling_origin_scaled,
ETTh1,iTransformer,336,13200,0.12014534172330112,0.27360125686058606,0.14827797773419538,0.06303526366048037,fastdtw_rolling_origin_scaled,
ETTh1,Chronos-2,336,13872,0.014637424927663924,0.09921480679795855,0.0726546787206739,0.0020122980521087423,fastdtw_rolling_origin_scaled,
ETTh1,DLinear,336,13872,0.07045024538619266,0.22385528941613214,0.1252481001399044,0.008265486384612325,fastdtw_rolling_origin_scaled,
ETTh1,PatchTST,336,13872,0.16522211377475796,0.3178261909337854,0.19406999718094464,0.01260868371848024,fastdtw_rolling_origin_scaled,
ETTh1,TimeMixer,336,13872,0.07834077277004457,0.23737497683262623,0.15344568683105395,0.0052790032860185925,fastdtw_rolling_origin_scaled,
ETTh1,iTransformer,336,13872,0.0793810056838913,0.2432337937343735,0.1567961401385832,0.008233172472610626,fastdtw_rolling_origin_scaled,
ETTm1,Chronos-2,336,46080,0.018342090490752763,0.10734556482306548,0.05547711815253222,0.0024045636591244223,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTm1_Chronos-2_h336_origin46080.png
ETTm1,DLinear,336,46080,0.016458548227606586,0.09930456474064861,0.037888126787744704,0.0014709171747629255,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTm1_DLinear_h336_origin46080.png
ETTm1,PatchTST,336,46080,0.02853977158457493,0.13866961658932805,0.059153292068316536,0.002273097507760792,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTm1_PatchTST_h336_origin46080.png
ETTm1,TimeMixer,336,46080,0.0204877484811029,0.113296600696592,0.0410361983082617,0.0017519131333476902,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTm1_TimeMixer_h336_origin46080.png
ETTm1,iTransformer,336,46080,0.018305606110520466,0.1074398583091064,0.04373736383476369,0.001589356156663849,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTm1_iTransformer_h336_origin46080.png
ETTm1,Chronos-2,336,48768,0.03803025874378518,0.1686553263238498,0.15424978765633587,0.0003076239033864912,fastdtw_rolling_origin_scaled,
ETTm1,DLinear,336,48768,0.022001891912328025,0.13217422839076162,0.04227614567727613,0.03944422133790905,fastdtw_rolling_origin_scaled,
ETTm1,PatchTST,336,48768,0.033046755428402755,0.1625671604810759,0.0568496898743929,0.046865133822346146,fastdtw_rolling_origin_scaled,
ETTm1,TimeMixer,336,48768,0.008973692478720274,0.07682153340966218,0.023961107326011824,0.0793381870390799,fastdtw_rolling_origin_scaled,
ETTm1,iTransformer,336,48768,0.011701528750077241,0.09504734009205709,0.029809347435849624,0.02951965343015513,fastdtw_rolling_origin_scaled,
ETTm1,Chronos-2,336,51456,0.01262043565929,0.07247390864150864,0.04871941319313543,0.001433230889338494,fastdtw_rolling_origin_scaled,
ETTm1,DLinear,336,51456,0.023204982114871542,0.11596390012632041,0.061830314819252774,0.0026737733508872407,fastdtw_rolling_origin_scaled,
ETTm1,PatchTST,336,51456,0.025121049055239215,0.1236003110245319,0.0642508189817478,0.002123446104632329,fastdtw_rolling_origin_scaled,
ETTm1,TimeMixer,336,51456,0.01872550232670879,0.10050205447462941,0.0567174640326092,0.0014565090220485357,fastdtw_rolling_origin_scaled,
ETTm1,iTransformer,336,51456,0.03056492956147307,0.1416673785673097,0.07756666686261805,0.004673869676207238,fastdtw_rolling_origin_scaled,
ETTm1,Chronos-2,336,54480,0.019811873006366807,0.11102244896548134,0.05588671051587771,0.13180388533447718,fastdtw_rolling_origin_scaled,
ETTm1,DLinear,336,54480,0.011407386073941879,0.08206627604817808,0.04015319290861625,0.05266975090767859,fastdtw_rolling_origin_scaled,
ETTm1,PatchTST,336,54480,0.017291154052237127,0.09716737000843119,0.03258532028817224,0.11643729501152779,fastdtw_rolling_origin_scaled,
ETTm1,TimeMixer,336,54480,0.01835900274002099,0.1027669705119785,0.03775856345133271,0.14163338435864542,fastdtw_rolling_origin_scaled,
ETTm1,iTransformer,336,54480,0.024101802951101974,0.11892793939375049,0.05633605306870901,0.10042020773745103,fastdtw_rolling_origin_scaled,
ETTm1,Chronos-2,336,57168,0.04349923193507655,0.17316122211161114,0.06600747602741892,0.029099505474373257,fastdtw_rolling_origin_scaled,
ETTm1,DLinear,336,57168,0.03409508098969036,0.15634311825796984,0.0595065393555181,0.014206281998680381,fastdtw_rolling_origin_scaled,
ETTm1,PatchTST,336,57168,0.04018056143514748,0.16573131170308755,0.07806731753494717,0.015149789845289433,fastdtw_rolling_origin_scaled,
ETTm1,TimeMixer,336,57168,0.06207597432967217,0.21369567383461133,0.10610483816158767,0.017450666574979762,fastdtw_rolling_origin_scaled,
ETTm1,iTransformer,336,57168,0.04820721723241591,0.17911554930511941,0.08756573668839045,0.01725447393613736,fastdtw_rolling_origin_scaled,
ETTm2,Chronos-2,336,46080,0.037597606453625504,0.15172695570488162,0.05902692847124407,0.000875514679556033,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTm2_Chronos-2_h336_origin46080.png
ETTm2,DLinear,336,46080,0.032552705481217414,0.15608683166436485,0.057387364455423,0.0007188455405923402,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTm2_DLinear_h336_origin46080.png
ETTm2,PatchTST,336,46080,0.040294591797912685,0.16450753509369728,0.06174188617056384,0.0006708238851095994,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTm2_PatchTST_h336_origin46080.png
ETTm2,TimeMixer,336,46080,0.07223030723628157,0.2415992872035565,0.08944428065694207,0.001507743887899075,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTm2_TimeMixer_h336_origin46080.png
ETTm2,iTransformer,336,46080,0.05249139826000338,0.1960054251191648,0.07348723498604605,0.0009793594281832427,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTm2_iTransformer_h336_origin46080.png
ETTm2,Chronos-2,336,48768,0.14792048646870146,0.31553508820001125,0.12329857072799696,0.01662069001815702,fastdtw_rolling_origin_scaled,
ETTm2,DLinear,336,48768,0.07342406067349301,0.22761228640088138,0.0893981749486396,0.0014451411842200785,fastdtw_rolling_origin_scaled,
ETTm2,PatchTST,336,48768,0.08224947322452766,0.23553287191139624,0.0889757813096298,0.002100356146060258,fastdtw_rolling_origin_scaled,
ETTm2,TimeMixer,336,48768,0.07096223340905658,0.2224100228726786,0.08294798149170951,0.0013963521318835434,fastdtw_rolling_origin_scaled,
ETTm2,iTransformer,336,48768,0.057047524115121956,0.20946460964729946,0.06817942686144521,0.0016762077854857358,fastdtw_rolling_origin_scaled,
ETTm2,Chronos-2,336,51456,0.07649598425194784,0.21788481099619753,0.07403891541624583,0.001442892345110087,fastdtw_rolling_origin_scaled,
ETTm2,DLinear,336,51456,0.07442154395318087,0.21838169753423534,0.07332670022150159,0.0009135487528344671,fastdtw_rolling_origin_scaled,
ETTm2,PatchTST,336,51456,0.11055149819229178,0.262758142889956,0.10395007378307569,0.001549093056762935,fastdtw_rolling_origin_scaled,
ETTm2,TimeMixer,336,51456,0.02734338431502587,0.1350097244174425,0.03779196856120413,0.000411205040526849,fastdtw_rolling_origin_scaled,
ETTm2,iTransformer,336,51456,0.07235571718794366,0.22716019004347454,0.07737228128033101,0.0012999900073961876,fastdtw_rolling_origin_scaled,
ETTm2,Chronos-2,336,54480,0.034010114773859054,0.15042915833847864,0.08456980867798944,0.03713794153097523,fastdtw_rolling_origin_scaled,
ETTm2,DLinear,336,54480,0.03978002821025765,0.15764033448610099,0.06920946736171213,0.018803065892695016,fastdtw_rolling_origin_scaled,
ETTm2,PatchTST,336,54480,0.021754963762890107,0.12070564160631839,0.04424684205879522,0.03630997517940765,fastdtw_rolling_origin_scaled,
ETTm2,TimeMixer,336,54480,0.03647211979901214,0.14515730703854623,0.05741693577825064,0.004982589244911016,fastdtw_rolling_origin_scaled,
ETTm2,iTransformer,336,54480,0.04061407133859318,0.15680292689628578,0.07260882764728491,0.018429347480449304,fastdtw_rolling_origin_scaled,
ETTm2,Chronos-2,336,57168,0.04698757586425161,0.16216523723588103,0.10833560353763191,0.002287268170102459,fastdtw_rolling_origin_scaled,
ETTm2,DLinear,336,57168,0.08865951769656968,0.23112159638855334,0.10243178219982878,0.002857414180879412,fastdtw_rolling_origin_scaled,
ETTm2,PatchTST,336,57168,0.0821095835150291,0.22250019089629786,0.08326186197824713,0.023607849487146882,fastdtw_rolling_origin_scaled,
ETTm2,TimeMixer,336,57168,0.09135139635626842,0.24299328954406355,0.08591186786186823,0.02499297825190682,fastdtw_rolling_origin_scaled,
ETTm2,iTransformer,336,57168,0.1576872709263839,0.34048954583338076,0.14736712242673403,0.02355653399180185,fastdtw_rolling_origin_scaled,
Weather,Chronos-2,336,42063,0.0008860474570110933,0.025922474078405294,0.01707310123275435,0.0035528799266881894,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/Weather_Chronos-2_h336_origin42063.png
Weather,DLinear,336,42063,0.001956084377058007,0.03707313790047866,0.01958847832998999,0.005119674219996641,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/Weather_DLinear_h336_origin42063.png
Weather,PatchTST,336,42063,0.0015369736635615367,0.032794189198999936,0.01255935849206552,0.0048508675708562165,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/Weather_PatchTST_h336_origin42063.png
Weather,TimeMixer,336,42063,0.0011685640552860216,0.028944297350337673,0.015817483979588334,0.0027104935825462873,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/Weather_TimeMixer_h336_origin42063.png
Weather,iTransformer,336,42063,0.0014687556036772186,0.032080156277046176,0.02336189228783092,0.0015981473607961703,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/Weather_iTransformer_h336_origin42063.png
Weather,Chronos-2,336,44751,0.0005575989401321716,0.018470518013817213,0.0058203552862200565,0.003639593530835932,fastdtw_rolling_origin_scaled,
Weather,DLinear,336,44751,0.001258535811177053,0.02974258548789089,0.010330871260833565,0.004160032194010817,fastdtw_rolling_origin_scaled,
Weather,PatchTST,336,44751,0.00047006566184852556,0.01710762674378493,0.006662880682798509,0.0014923871180774716,fastdtw_rolling_origin_scaled,
Weather,TimeMixer,336,44751,0.0009834549938239053,0.0267279116972582,0.012828014355467194,0.0016911765105914406,fastdtw_rolling_origin_scaled,
Weather,iTransformer,336,44751,0.0012415445825803724,0.031028981069347795,0.020726360309420922,0.005678236769598668,fastdtw_rolling_origin_scaled,
Weather,Chronos-2,336,47103,0.0007531869918465453,0.021777954789632487,0.009665159289866235,0.006589095944564694,fastdtw_rolling_origin_scaled,
Weather,DLinear,336,47103,0.0010296879246091339,0.02471068421121303,0.011386813339836021,0.0063188130233471414,fastdtw_rolling_origin_scaled,
Weather,PatchTST,336,47103,0.0004900482517623286,0.01769905962504394,0.0059153216194480895,0.004660518053375196,fastdtw_rolling_origin_scaled,
Weather,TimeMixer,336,47103,0.0006466203404695921,0.020498981201713038,0.009133231945665813,0.008013438492570553,fastdtw_rolling_origin_scaled,
Weather,iTransformer,336,47103,0.0007303443276480572,0.02228823869546461,0.014137713503096339,0.036855593595587134,fastdtw_rolling_origin_scaled,
Weather,Chronos-2,336,49455,0.0009593063473930601,0.028308401848854765,0.011349083277454014,0.011771416599130627,fastdtw_rolling_origin_scaled,
Weather,DLinear,336,49455,0.00039480123648260424,0.016186105078246197,0.007169253030638925,0.005066050543024227,fastdtw_rolling_origin_scaled,
Weather,PatchTST,336,49455,0.001335743097725371,0.02952286722439646,0.00944554333113482,0.04197489928862401,fastdtw_rolling_origin_scaled,
Weather,TimeMixer,336,49455,0.00040678780397053363,0.01615953982261239,0.006875761720589383,0.01167449571704891,fastdtw_rolling_origin_scaled,
Weather,iTransformer,336,49455,0.00036512001791571603,0.01617204765004836,0.009954048398914834,0.002580828199999037,fastdtw_rolling_origin_scaled,
Weather,Chronos-2,336,52143,0.0003194757827011772,0.013040767661074088,0.007494724368103147,0.10175626875192396,fastdtw_rolling_origin_scaled,
Weather,DLinear,336,52143,0.0005366291096087263,0.01929465824470165,0.00994337624501131,0.07110982632928561,fastdtw_rolling_origin_scaled,
Weather,PatchTST,336,52143,0.00028660185754693195,0.011642320045446894,0.00605835003805208,0.059443034024507235,fastdtw_rolling_origin_scaled,
Weather,TimeMixer,336,52143,0.000260445526344332,0.011641435343258542,0.006735593751844298,0.008492607632995171,fastdtw_rolling_origin_scaled,
Weather,iTransformer,336,52143,0.000246844599461932,0.011365396155806631,0.007437928926851569,0.00988841339675967,fastdtw_rolling_origin_scaled,
ESNet,Chronos-2,4321,51808,1.3221661685062027,0.18779933051411143,0.16489010644467858,0.001289593516650182,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ESNet_Chronos-2_h4321_origin51808.png
ESNet,DLinear,4321,51808,1.3216419671063084,0.1862875756695606,0.13579843497263486,0.0028186051357990878,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ESNet_DLinear_h4321_origin51808.png
ESNet,PatchTST,4321,51808,1.3253899000358658,0.19743680176004486,0.18051019896537007,1.4674245694481162e-05,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ESNet_PatchTST_h4321_origin51808.png
ESNet,TimeMixer,4321,51808,1.3053915013925468,0.23371571200731645,0.225134348779408,9.303190217136542e-05,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ESNet_TimeMixer_h4321_origin51808.png
ESNet,Chronos-2,4321,56129,1.6131793077684655,0.2242075211250604,0.22317442215766276,4.4097426137981505e-06,fastdtw_rolling_origin_scaled,
ESNet,DLinear,4321,56129,1.6109692248238041,0.22025756650425102,0.16262108386509352,0.001970076202366281,fastdtw_rolling_origin_scaled,
ESNet,PatchTST,4321,56129,1.608746576544508,0.22699389526822988,0.19259934771101375,0.0005416654899503146,fastdtw_rolling_origin_scaled,
ESNet,TimeMixer,4321,56129,1.6041747812452802,0.23536530876076167,0.2204067957785826,3.16052936008704e-05,fastdtw_rolling_origin_scaled,
ESNet,Chronos-2,4321,60450,1.5014870325782994,0.20778463691390242,0.1373061456704606,0.04403052701583149,fastdtw_rolling_origin_scaled,
ESNet,DLinear,4321,60450,1.5005317286345037,0.20534260648281405,0.1587895688984456,0.0025890844689984913,fastdtw_rolling_origin_scaled,
ESNet,PatchTST,4321,60450,1.5039877681404819,0.21881940581494153,0.1942232148956117,0.00020093843943700686,fastdtw_rolling_origin_scaled,
ESNet,TimeMixer,4321,60450,1.4919222696854377,0.22520757060140567,0.21284806738524262,2.8616859731292493e-05,fastdtw_rolling_origin_scaled,
