dataset,model,horizon_len,origin,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,total_variation_ratio,total_variation_ratio_error,high_frequency_energy_ratio,high_frequency_energy_ratio_error,target_col,input_mode,protocol,fig_path,experiment,main_seq_len
ETTm1,TimeMixer,96,52896,0.23925718538599075,0.4399242285781033,0.43530248477048,7.830398052691866e-06,0.2793493171450546,1.2752922117247534,0.2021691280926496,1.5986506146451518,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,iTransformer,96,52896,0.20942400265784555,0.40310097821920193,0.3989425516419928,2.2372565864833907e-06,0.1722983103393935,1.7585278839612748,0.11348625803261554,2.1760734358769156,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,Chronos-2,96,55200,0.04890218098261349,0.16752012570699057,0.11064862613136886,0.12467909648345153,0.055533968537092276,2.8907602196700095,0.04614512596850204,3.075963719719972,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,TimesFM,96,55200,0.03063326401559774,0.1384880468249321,0.06887195845070125,0.1473421940513627,0.09928860229735098,2.3097243942922248,0.06522905164502091,2.7298501786061182,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,DLinear,96,55200,0.0513186549828934,0.1786438617392215,0.10036034037345669,0.11870385021097046,0.9221882205602878,0.08100592164155923,0.6496879495291438,0.43126309362208964,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,PatchTST,96,55200,0.07047311019077758,0.21713334895864858,0.1266267451737103,0.11553902911324787,0.39903238815639624,0.9187126670017262,0.24815338197970532,1.3937082079721692,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,TimeMixer,96,55200,0.044014882475280515,0.1611741287939761,0.06745903780193252,0.1343662129345603,1.0404701851666842,0.039672721719212246,0.6041260521174928,0.5039723907096111,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,iTransformer,96,55200,0.06403455426669298,0.20774070781191223,0.1183398832493725,0.053996482090643276,0.5082812224745737,0.6767203773541934,0.3506571038187644,1.047946416685359,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,Chronos-2,96,57504,0.10025472503288164,0.26929883907238644,0.26929883907238644,0.0,0.063914004031764,2.7502166297228023,0.05050248675140291,2.98573250330113,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,TimesFM,96,57504,0.08821771376987424,0.25201116998990375,0.22866685617537724,0.0030164930555555557,0.06178122210507404,2.7841556482610765,0.06783929679854259,2.6906135057325558,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,DLinear,96,57504,0.0675987420063143,0.20579616075553123,0.09284937493125262,0.13488008659383469,1.216679945823887,0.19612580146161496,0.7613790857334155,0.27262389044949187,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,PatchTST,96,57504,0.09495171464763306,0.2584958781218037,0.16371421921745807,0.11488961534672971,0.36788688233366446,0.9999797458462475,0.28719946971112165,1.2475782534005109,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,TimeMixer,96,57504,0.10415025906362513,0.2780509129244231,0.2441752888999672,0.0026353121784979425,0.5231926085119218,0.647805587287445,0.36656761579887326,1.0035722568080734,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,iTransformer,96,57504,0.1267708170914749,0.312607702791129,0.3029870699008463,0.00037593820145903476,0.3543082725758663,1.037587890088256,0.2452830494725884,1.4053423905485076,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,Chronos-2,96,46080,0.013778757763221627,0.08103780581344229,0.03826629468278975,0.0011643980508870215,0.7668469103625276,0.26546807985151655,0.7198997841426066,0.3286432514596827,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTm2_Chronos-2_h96_origin46080.png,main,336
ETTm2,TimesFM,96,46080,0.045193045532530285,0.15069523691757544,0.06748787652607312,0.0027393954705638474,0.6306928236831477,0.4609363278582206,0.5614675125737011,0.5772013469507272,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTm2_TimesFM_h96_origin46080.png,main,336
ETTm2,DLinear,96,46080,0.040944730291098894,0.17086347984943426,0.0662488050047287,0.005686512212643678,1.501349664232863,0.4063644863681701,1.2533407762304396,0.22581261517647042,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTm2_DLinear_h96_origin46080.png,main,336
ETTm2,PatchTST,96,46080,0.02929074857636486,0.1171608319118021,0.05087157449577721,0.002194691555150041,0.8453894966076781,0.16795780326658274,0.785000085471847,0.24207143957954874,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTm2_PatchTST_h96_origin46080.png,main,336
ETTm2,TimeMixer,96,46080,0.04470087853312508,0.16335135458828795,0.0713677365266707,0.006012834821428571,0.996526290953474,0.0034797463474559452,0.8106210843613758,0.20995454198147712,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTm2_TimeMixer_h96_origin46080.png,main,336
ETTm2,iTransformer,96,46080,0.18093414464556692,0.36056185810962704,0.1777293342413657,0.008717804208126036,1.19197573025193,0.17561221629840781,0.925633745260973,0.07727663524886103,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTm2_iTransformer_h96_origin46080.png,main,336
ETTm2,Chronos-2,96,48384,0.022003056342074445,0.10941583911577861,0.0716003204963004,0.030561948212747634,0.2831813263532349,1.2616678220417552,0.10327438508950486,2.2703658029955247,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
