dataset,model,horizon_len,origin,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,total_variation_ratio,total_variation_ratio_error,high_frequency_energy_ratio,high_frequency_energy_ratio_error,target_col,input_mode,protocol,fig_path,experiment,lookback_seq_len
ETTm1,PatchTST_L720,720,48960,0.039369315279088705,0.14741587489131855,0.04879343947947032,0.032526762387564266,1.2059017911679868,0.18722766975593755,0.5904195102334372,0.5269219435164226,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,iTransformer_L720,720,48960,0.027962996119677747,0.14133570808981946,0.07825125304393228,0.012695316552546946,0.4433858764564848,0.8133148125805731,0.6326267895292832,0.4578746049085173,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,DLinear_L336,720,51840,0.028400926793392255,0.1361205271608092,0.04642720354529908,0.007546697087712713,1.0730331866610323,0.07048940134429375,0.8091129425913942,0.21181675165552802,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,PatchTST_L336,720,51840,0.08496748065123258,0.22982434330021487,0.11330781953042171,0.005998702134089096,0.7608588764616143,0.2733073700343359,0.907527022103843,0.09703192584451702,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,iTransformer_L336,720,51840,0.027253373719303812,0.13044566003008853,0.041376605809527824,0.006181796777429724,0.37223223797020744,0.9882372970166473,0.8559182737663668,0.15558037028702504,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,DLinear_L720,720,51840,0.024697241825971616,0.12354862544471913,0.047888814608739214,0.006549824340964823,0.9475531154287075,0.053872274543321434,0.6837718458574349,0.38013096106585903,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,PatchTST_L720,720,51840,0.02608871054503358,0.12823891548049826,0.04046177810783974,0.009917287868676758,0.7817819699543913,0.24617937532050407,0.7750904108705622,0.2547755843434011,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,iTransformer_L720,720,51840,0.025042191004253603,0.12623932968655863,0.047442388719450286,0.010482444338925822,0.30234066849186597,1.1962008229287955,0.5491971875267729,0.5992977079295033,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,DLinear_L336,720,54000,0.053697406951578625,0.2044522771445166,0.07472769932093778,0.023134200254175744,1.2208794581579514,0.19957147457850094,0.6019773778529872,0.5075353960847758,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,PatchTST_L336,720,54000,0.12025887983259531,0.3147336768715802,0.1462180315471497,0.06732024719880386,0.7947426969543405,0.2297368557613691,0.6186088281657975,0.48028213146530757,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
