dataset,model,horizon_len,n_windows,target_col,input_mode,mse_mean,mse_std,mae_mean,mae_std,dtw_mean,dtw_std,tdi_mean,tdi_std,total_variation_ratio_mean,total_variation_ratio_std,total_variation_ratio_error_mean,total_variation_ratio_error_std,high_frequency_energy_ratio_mean,high_frequency_energy_ratio_std,high_frequency_energy_ratio_error_mean,high_frequency_energy_ratio_error_std,mse_mean_pm_std,mae_mean_pm_std,dtw_mean_pm_std,tdi_mean_pm_std,total_variation_ratio_mean_pm_std,total_variation_ratio_error_mean_pm_std,high_frequency_energy_ratio_mean_pm_std,high_frequency_energy_ratio_error_mean_pm_std
ETTh1,iTransformer,720,4,OT,univariate target-only,0.08189988619726193,0.04564037337246985,0.21301100730032588,0.06206983094949178,0.11651201850159666,0.042743486214538044,0.008773702053873626,0.003589078424533995,0.4188085059222827,0.12816255408275168,0.9073922896963698,0.31785967148619615,0.2583793228907763,0.09622329461844567,1.4130983273461681,0.4130899135159499,0.0819 $\pm$ 0.0456,0.2130 $\pm$ 0.0621,0.1165 $\pm$ 0.0427,0.0088 $\pm$ 0.0036,0.4188 $\pm$ 0.1282,0.9074 $\pm$ 0.3179,0.2584 $\pm$ 0.0962,1.4131 $\pm$ 0.4131
ETTm1,Chronos-2,720,6,OT,univariate target-only,0.14536461113019,0.16978222251339412,0.2894517760378895,0.18978681577554085,0.21707295905776114,0.1935252285388382,0.01665730838816978,0.01889884096817181,0.14573435653886377,0.04045361645577319,1.9678457984344442,0.33956577661537124,0.19411590270009974,0.16538767775517368,1.9944552746490192,0.9581491693395622,0.1454 $\pm$ 0.1698,0.2895 $\pm$ 0.1898,0.2171 $\pm$ 0.1935,0.0167 $\pm$ 0.0189,0.1457 $\pm$ 0.0405,1.9678 $\pm$ 0.3396,0.1941 $\pm$ 0.1654,1.9945 $\pm$ 0.9581
ETTm1,DLinear,720,6,OT,univariate target-only,0.13350793931847213,0.11690802737220841,0.28326866844391063,0.15630899039789473,0.19697103835556998,0.14180772386345677,0.0066064482160551235,0.007052768568266378,1.2897075335410322,0.25407972732092166,0.258628001727023,0.16656244104983361,0.4938720194842579,0.05452667612629284,0.7109058531755043,0.11603481531453708,0.1335 $\pm$ 0.1169,0.2833 $\pm$ 0.1563,0.1970 $\pm$ 0.1418,0.0066 $\pm$ 0.0071,1.2897 $\pm$ 0.2541,0.2586 $\pm$ 0.1666,0.4939 $\pm$ 0.0545,0.7109 $\pm$ 0.1160
ETTm1,PatchTST,720,6,OT,univariate target-only,0.13886940551989513,0.13750101924766372,0.2876465171676295,0.1675999328984031,0.1987596815781559,0.149161734347502,0.019679358072922162,0.02839386028454183,0.6862908473764362,0.1215882066187979,0.3905081503475521,0.1871706148948072,0.44633373933608217,0.08115827871346926,0.8215277404363736,0.19226195731295942,0.1389 $\pm$ 0.1375,0.2876 $\pm$ 0.1676,0.1988 $\pm$ 0.1492,0.0197 $\pm$ 0.0284,0.6863 $\pm$ 0.1216,0.3905 $\pm$ 0.1872,0.4463 $\pm$ 0.0812,0.8215 $\pm$ 0.1923
ETTm1,TimeMixer,720,6,OT,univariate target-only,0.15775614324291,0.13418481706803018,0.3121146383539093,0.16404937987193685,0.2091372175911387,0.14642645797910353,0.015525500856372032,0.012115946901615543,0.5856680558567647,0.1433470387235095,0.5576336514749655,0.22792086014857693,0.4412466336218521,0.04480725291971734,0.82243151626359,0.10125307149207873,0.1578 $\pm$ 0.1342,0.3121 $\pm$ 0.1640,0.2091 $\pm$ 0.1464,0.0155 $\pm$ 0.0121,0.5857 $\pm$ 0.1433,0.5576 $\pm$ 0.2279,0.4412 $\pm$ 0.0448,0.8224 $\pm$ 0.1013
ETTm1,TimesFM,720,6,OT,univariate target-only,0.17942160677892302,0.16393891464517912,0.3307287146440811,0.19783947653985925,0.253030847351978,0.1983362295447543,0.008914766166787614,0.012456483815975694,0.05805587937979492,0.03841651498374858,3.0682416131323786,0.7701650128793454,0.14571223444572357,0.1408319357196324,2.3592938971435515,1.0890012134922906,0.1794 $\pm$ 0.1639,0.3307 $\pm$ 0.1978,0.2530 $\pm$ 0.1983,0.0089 $\pm$ 0.0125,0.0581 $\pm$ 0.0384,3.0682 $\pm$ 0.7702,0.1457 $\pm$ 0.1408,2.3593 $\pm$ 1.0890
ETTm1,iTransformer,720,6,OT,univariate target-only,0.13408165251116452,0.10988239406930708,0.28680123646427375,0.14666267590251028,0.1684118631867695,0.09833769199373987,0.04287687566880726,0.05426615381654914,0.340698332010037,0.06045958049366604,1.0892267609942181,0.17086119708052822,0.4705564585388822,0.20089636718479884,0.8503238290472006,0.5109936790146862,0.1341 $\pm$ 0.1099,0.2868 $\pm$ 0.1467,0.1684 $\pm$ 0.0983,0.0429 $\pm$ 0.0543,0.3407 $\pm$ 0.0605,1.0892 $\pm$ 0.1709,0.4706 $\pm$ 0.2009,0.8503 $\pm$ 0.5110
ETTm2,Chronos-2,720,6,OT,univariate target-only,0.33229031834588857,0.2254717511150775,0.4516968650127738,0.21367000292677243,0.2868959543314338,0.22351956202155343,0.013097638511619795,0.021597994080050947,1.0895996119963718,1.2158474916265576,0.9637007531592349,0.6877650510230497,0.9533507186557779,1.064300790729153,1.1516159849803724,1.1091615154742847,0.3323 $\pm$ 0.2255,0.4517 $\pm$ 0.2137,0.2869 $\pm$ 0.2235,0.0131 $\pm$ 0.0216,1.0896 $\pm$ 1.2158,0.9637 $\pm$ 0.6878,0.9534 $\pm$ 1.0643,1.1516 $\pm$ 1.1092
ETTm2,DLinear,720,6,OT,univariate target-only,0.2552350106439707,0.20825971018102088,0.4004696009614339,0.20196280973060854,0.23645407791120562,0.20342910366534253,0.012775591524454887,0.02247866645575682,3.3654368260573815,1.3825909401653391,1.134224202902715,0.44813101337108935,0.8613040302410946,0.2800399082985372,0.30211829895862097,0.06270756389623994,0.2552 $\pm$ 0.2083,0.4005 $\pm$ 0.2020,0.2365 $\pm$ 0.2034,0.0128 $\pm$ 0.0225,3.3654 $\pm$ 1.3826,1.1342 $\pm$ 0.4481,0.8613 $\pm$ 0.2800,0.3021 $\pm$ 0.0627
ETTm2,PatchTST,720,6,OT,univariate target-only,0.2340700640164789,0.1978788253457866,0.3829246654657767,0.19136448772354103,0.2187900923516153,0.1947407376618963,0.013858998696012518,0.024540595302573298,1.893833758870743,0.5752756507908764,0.6009426127072107,0.3002550272378984,0.9175298459211736,0.4091024560589508,0.3340394004010718,0.251437230593603,0.2341 $\pm$ 0.1979,0.3829 $\pm$ 0.1914,0.2188 $\pm$ 0.1947,0.0139 $\pm$ 0.0245,1.8938 $\pm$ 0.5753,0.6009 $\pm$ 0.3003,0.9175 $\pm$ 0.4091,0.3340 $\pm$ 0.2514
ETTm2,TimeMixer,720,6,OT,univariate target-only,0.26324838935781864,0.20988116544079682,0.3981869168410442,0.20975826804863634,0.2401248607112706,0.18441137802633575,0.012015636609061789,0.019987338885387257,1.9343728728730802,0.6874035944861943,0.6190101986810653,0.2929137279636626,0.9605764454610982,0.4033244996056558,0.2859558638664172,0.19054498598808636,0.2632 $\pm$ 0.2099,0.3982 $\pm$ 0.2098,0.2401 $\pm$ 0.1844,0.0120 $\pm$ 0.0200,1.9344 $\pm$ 0.6874,0.6190 $\pm$ 0.2929,0.9606 $\pm$ 0.4033,0.2860 $\pm$ 0.1905
ETTm2,TimesFM,720,6,OT,univariate target-only,0.2811845525806584,0.20031173252769774,0.41896874654964816,0.19084262546506045,0.27905276047357913,0.20324147691096642,0.01463066741773599,0.01859681235744168,0.8157688323187194,0.9142823733443403,1.0350396698058864,0.8153761935238601,0.7790605995890241,0.8283474867677387,1.054551052648727,0.9352440905720235,0.2812 $\pm$ 0.2003,0.4190 $\pm$ 0.1908,0.2791 $\pm$ 0.2032,0.0146 $\pm$ 0.0186,0.8158 $\pm$ 0.9143,1.0350 $\pm$ 0.8154,0.7791 $\pm$ 0.8283,1.0546 $\pm$ 0.9352
ETTm2,iTransformer,720,6,OT,univariate target-only,0.2760281357393661,0.23653290761734033,0.41135895644061654,0.2213139329128153,0.258648555779966,0.19868381945498018,0.007992278508729389,0.006758213381801352,1.4528063601262506,0.4881274605596212,0.3679632474630646,0.2734064290250772,0.8652509279928374,0.22510417188947754,0.2516057978269716,0.12887017685240723,0.2760 $\pm$ 0.2365,0.4114 $\pm$ 0.2213,0.2586 $\pm$ 0.1987,0.0080 $\pm$ 0.0068,1.4528 $\pm$ 0.4881,0.3680 $\pm$ 0.2734,0.8653 $\pm$ 0.2251,0.2516 $\pm$ 0.1289
Weather,Chronos-2,720,6,OT,univariate target-only,0.0064536691568096265,0.010645496385534926,0.055876245462923184,0.05482740330576072,0.042154695337233546,0.0600194844897038,0.03834925647532176,0.03064027971447955,0.25348819510700665,0.2691007540373823,1.8113454484220177,1.06078620227534,0.2794621756793076,0.2768961910275621,1.7088665196445731,1.1200768043951592,0.0065 $\pm$ 0.0106,0.0559 $\pm$ 0.0548,0.0422 $\pm$ 0.0600,0.0383 $\pm$ 0.0306,0.2535 $\pm$ 0.2691,1.8113 $\pm$ 1.0608,0.2795 $\pm$ 0.2769,1.7089 $\pm$ 1.1201
Weather,DLinear,720,6,OT,univariate target-only,0.0023056461421641643,0.0018400304991153952,0.03772546938679171,0.017951821880190583,0.020922291827874955,0.017745047349851294,0.01507512598299028,0.015538165738222925,3.1566383284847963,1.7648876915106524,0.9920652291329963,0.6471808903872067,0.5552124602199221,0.3078457251043294,0.7533063370793779,0.650431861795317,0.0023 $\pm$ 0.0018,0.0377 $\pm$ 0.0180,0.0209 $\pm$ 0.0177,0.0151 $\pm$ 0.0155,3.1566 $\pm$ 1.7649,0.9921 $\pm$ 0.6472,0.5552 $\pm$ 0.3078,0.7533 $\pm$ 0.6504
Weather,PatchTST,720,6,OT,univariate target-only,0.0029864882176853028,0.003107708791296477,0.04271419227701031,0.024945074242628783,0.026365416309953555,0.02811013438390157,0.022158821618971748,0.025276429308518953,0.7213789885825103,0.298220344537937,0.4729554262987483,0.5575159495656972,0.5138111391273954,0.26993453778945253,0.9175346983134977,0.974468031647378,0.0030 $\pm$ 0.0031,0.0427 $\pm$ 0.0249,0.0264 $\pm$ 0.0281,0.0222 $\pm$ 0.0253,0.7214 $\pm$ 0.2982,0.4730 $\pm$ 0.5575,0.5138 $\pm$ 0.2699,0.9175 $\pm$ 0.9745
Weather,TimeMixer,720,6,OT,univariate target-only,0.0030350416006821707,0.003048398981609206,0.04444783751208204,0.0240769516403902,0.028849671613004713,0.019577632702156296,0.010325982032497965,0.009146626579056615,2.894495404232123,2.041002098359215,0.9262043542891992,0.6676353476696868,0.4848399298415506,0.33259760318170806,0.954051581699213,0.7251017365838742,0.0030 $\pm$ 0.0030,0.0444 $\pm$ 0.0241,0.0288 $\pm$ 0.0196,0.0103 $\pm$ 0.0091,2.8945 $\pm$ 2.0410,0.9262 $\pm$ 0.6676,0.4848 $\pm$ 0.3326,0.9541 $\pm$ 0.7251
Weather,TimesFM,720,6,OT,univariate target-only,0.0017549506060308263,0.0009864038260470036,0.0341542321475993,0.010237000197811286,0.019749021556677855,0.006941079384842504,0.036608036510561714,0.03447660098088552,0.07805447203419898,0.037916898408042424,2.670526341430792,0.5645630009481725,0.11259410433803696,0.030315378415316927,2.2207007413093947,0.3123524636453507,0.0018 $\pm$ 0.0010,0.0342 $\pm$ 0.0102,0.0197 $\pm$ 0.0069,0.0366 $\pm$ 0.0345,0.0781 $\pm$ 0.0379,2.6705 $\pm$ 0.5646,0.1126 $\pm$ 0.0303,2.2207 $\pm$ 0.3124
Weather,iTransformer,720,6,OT,univariate target-only,0.0030325159709780444,0.0031150974072197027,0.04448598863425174,0.024347237399766995,0.037680611957926574,0.025039710622884293,0.002645843952796647,0.004489635996348166,0.8668687646341496,0.5752219607235041,0.6449062541155314,0.4059450938443954,0.14415419356233652,0.11120985323868936,2.19176510716438,0.7829169493669843,0.0030 $\pm$ 0.0031,0.0445 $\pm$ 0.0243,0.0377 $\pm$ 0.0250,0.0026 $\pm$ 0.0045,0.8669 $\pm$ 0.5752,0.6449 $\pm$ 0.4059,0.1442 $\pm$ 0.1112,2.1918 $\pm$ 0.7829
